cntr_01	dist_x	pang_x	ra_01	dec_01	designation	ra	dec	w1mpro	w1sigmpro	w1snr	w1rchi2	w2mpro	w2sigmpro	w2snr	w2rchi2	w3mpro	w3sigmpro	w3snr	w3rchi2	w4mpro	w4sigmpro	w4snr	w4rchi2	ext_flg	w1rsemi	w1ba	w1pa	w1gmag	w1gerr	w1gflg	w2rsemi	w2ba	w2pa	w2gmag	w2gerr	w2gflg	w3rsemi	w3ba	w3pa	w3gmag	w3gerr	w3gflg	w4rsemi	w4ba	w4pa	w4gmag	w4gerr	w4gflg
47	0.756514	-5.73739	294.518333	-51.163889	J193804.39-510949.2	294.5182998	-51.1636798	11.107	0.024	45.5	4.213	10.413	0.021	52.6	2.091	7.83	0.018	61	1.083	5.508	0.031	34.5	1.029	5	13.22	0.71	-10	11.167	0.006	0	13.22	0.71	-10	10.523	0.006	0	13.22	0.71	-10	8.281	0.008	0	18.66	0.84	-10	6.051	0.042	17
48	1.055913	107.076595	300.232083	-18.174167	J200055.77-181027.3	300.2323784	-18.1742528	9.284	0.024	45.2	1.327	8.111	0.021	51.5	1.205	5.161	0.016	69.7	1.667	2.908	0.019	57.7	1.016	5	13.06	0.76	0	9.392	0.006	0	13.06	0.76	0	8.259	0.005	0	13.06	0.76	0	5.675	0.006	0	18.1	0.88	0	3.455	0.006	1
49	0.480803	33.887206	302.5725	48.005833	J201017.42+480021.3	302.5726113	48.0059442	11.634	0.022	49.2	18.91	11.342	0.024	45.7	3.979	8.279	0.03	36.5	0.8068	5.858	0.044	24.7	0.906	5	16.38	0.6	55	11.441	0.009	0	16.38	0.6	55	11.199	0.01	0	16.38	0.6	55	8.534	0.014	0	21.49	0.75	55	6.228	0.038	1
50	0.337804	79.083571	304.66125	40.683333	J201838.72+404100.0	304.6613715	40.6833511	10.14	0.024	44.4	14.72	9.284	0.021	52.4	6.634	6.033	0.017	64.3	25.75	4.128	0.048	22.8	3.65	5	19.14	0.77	50	9.908	0.061	1	19.14	0.77	50	8.953	0.007	1	19.14	0.77	50	5.667	0.028	1	22.25	0.83	50	4.945	0.888	1
51	0.506746	-43.837587	317.291667	-9.670833	J210909.97-094014.6	317.2915678	-9.6707318	9.772	0.023	47.8	3.084	8.761	0.019	56.2	1.795	5.909	0.014	76.3	1.568	3.683	0.021	52.8	0.7422	5	18.78	0.72	-55	9.14	0.006	1	18.78	0.72	-55	8.514	0.006	1	18.78	0.72	-55	6.139	0.006	1	22.38	0.82	-55	4.087	0.01	1
52	0.335632	91.155393	323.975	47.472778	J213554.03+472821.9	323.9751379	47.4727759	10.497	0.023	47.8	9.793	9.542	0.019	56.3	3.481	6.474	0.015	71.2	2.94	4.03	0.018	61.7	0.9088	5	14.1	0.6	65	10.593	0.009	1	14.1	0.6	65	9.711	0.006	1	14.1	0.6	65	7.015	0.006	1	21.98	0.81	65	4.4	0.01	1
53	0.680964	-50.499393	351.841667	15.410278	J232721.96+152437.4	351.8415153	15.4103981	10.992	0.022	48.3	8.101	10.372	0.021	51.7	2.196	7.65	0.017	63.7	1.037	5.187	0.03	36.3	1.004	5	14.62	0.78	5	10.933	0.006	0	14.62	0.78	5	10.403	0.007	0	14.62	0.78	5	8.025	0.009	0	18.49	0.86	5	5.719	0.025	1
54	0.463602	-150.515395	42.6775	54.705	J025042.57+544217.5	42.6773903	54.7048879	10.608	0.023	48	33.25	10.214	0.021	51.8	9.202	6.704	0.016	68.1	2.889	4.532	0.025	42.9	0.8825	5	28.25	0.35	-35	10.358	0.006	1	28.25	0.35	-35	10.058	0.007	1	28.25	0.35	-35	6.983	0.009	1	37.34	0.52	-35	4.773	0.024	17
55	0.355983	-124.543174	64.58875	38.026667	J041821.27+380135.7	64.5886466	38.0266106	9.925	0.024	45.9	1.182	9.019	0.021	52.4	0.9848	6.622	0.016	67	1.004	4.472	0.027	40.3	0.7738	4	11.62	0.86	20	10.059	0.006	0	11.62	0.86	20	9.183	0.006	0	11.62	0.86	20	7.199	0.011	0	16.74	0.92	20	5.065	0.022	1
56	0.380338	-154.609149	68.29625	5.354444	J043311.08+052115.6	68.2962045	5.354349	9.262	0.023	46.6	1.556	8.255	0.019	55.7	1.053	5.337	0.014	77.7	1.995	2.879	0.018	60.1	0.8131	4	17.4	0.69	-60	9.307	0.005	0	17.4	0.69	-60	8.325	0.006	0	17.4	0.69	-60	5.652	0.006	0	21.58	0.79	-60	3.289	0.007	1
57	0.175953	26.919032	206.9	-60.617778	J134736.01-603703.8	206.9000451	-60.6177342	9.208	0.023	47.6	3.494	8.129	0.019	57.3	1.839	5.186	0.013	81.4	1.723	2.718	0.016	68.8	0.9783	1	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
58	0.763726	12.116479	96.744167	-37.099722	J062658.61-370558.2	96.7442225	-37.0995148	11.645	0.023	46.8	5.821	10.744	0.021	51.7	1.536	7.377	0.016	69.4	1.645	5.129	0.028	38.6	0.9521	1	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
59	0.399064	4.562166	323.009167	-33.715	J213202.20-334253.6	323.0091773	-33.7148895	11.454	0.022	49.2	2.66	10.547	0.02	55.2	1.173	7.178	0.019	58.1	1.063	4.594	0.03	36.1	1.004	5	11.28	0.86	10	11.557	0.006	0	11.28	0.86	10	10.691	0.008	0	11.28	0.86	10	7.714	0.007	0	16.26	0.92	10	5.271	0.015	1
