Name,RA_(J2000),DEC_(J2000),Redshift,Dist_[Mpc],BAT_Type,PACS70,PACS70_err,PACS160,PACS160_err,PSW,PSW_err,PMW,PMW_err,PLW,PLW_err,BAT_flux,L_X
4U1344-60,13h47m36.0s,-60d37m04s,0.012879,55.70553482,Sy 1.5,2.04024662,0.116356578,0.0,0.15587652400000002,0.0,2.02439361,0.0,1.622006094,0.0,1.154661192,1.08e-10,4.010718297414388e+43
6dFJ0626586-370559,06h26m58.6s,-37d05m59s,0.038517,169.81560269999997,Sy 1.5,0.209494359,0.012810317,0.442123528,0.032302947,0.232694752,0.014243428999999998,0.105234196,0.008790137,0.052077240999999996,0.008416821,1.17e-11,4.0377809141691244e+43
6dFJ2132022-334254,21h32m02.2s,-33d42m54s,0.029974,131.32146200000003,Sy 1,0.07897759900000001,0.007340630999999999,0.0,0.081826912,0.0,0.076473122,0.0,0.062437976,0.0,0.050613963,4.2700000000000005e-11,8.812537958620025e+43
Ark120,05h16m11.4s,-00d08m59s,0.032713,143.61231750000002,Sy 1,0.68491298,0.038676385,1.175719942,0.097058752,0.630017918,0.07288004,0.283739361,0.042139437,0.109045164,0.01794542,7e-11,1.727758859500922e+44
ARK241,10h21m40.2s,-03d27m14s,0.040845,180.3861627,Sy 1,0.08104243900000001,0.005204836,0.0,0.1780683,0.16835374600000003,0.026180685,0.12025618099999999,0.02277397,0.0,0.06616973599999999,2.04e-11,7.943983162709227e+43
ARK347,12h04m29.7s,+20d18m58s,0.022445,97.78507352,Sy 2,0.364732939,0.019009589,0.497467183,0.030096558,0.304135697,0.031831289,0.142805069,0.017246466000000002,0.0,0.068825963,2.95e-11,3.3757389652835283e+43
ARP102B,17h19m14.5s,+48d58m49s,0.024166999999999998,105.42307779999999,Sy 1 LINER,0.102834469,0.008521684,0.0,0.132532985,0.07041042900000001,0.011577296,0.0,0.10672660699999999,0.0,0.098390862,1.82e-11,2.4207195511871113e+43
ARP151,11h25m36.2s,+54d22m57s,0.021091,91.79284190000001,Sy 1,0.0,0.048471895999999993,0.0,0.070142904,0.0,0.04947858,0.0,0.039475097,0.0,0.036032339,1.96e-11,1.9764025721308038e+43
AXJ1737.4-2907,17h37m28.4s,-29d08m03s,0.0214,93.15929812,Sy 1,0.451376505,0.029428845,0.0,0.617487659,0.0,2.537224947,0.0,2.0895044680000003,0.0,1.374049539,1.1599999999999999e-10,1.2047921033421186e+44
CenA,13h25m27.6s,-43d01m09s,0.001825,3.57,Sy 2,400.57599999999996,20.0305102,732.8839999999999,36.64687606,295.6883277,29.45253013,120.2852977,12.35056402,47.23353086,4.8893004939999996,1.3900000000000002e-09,2.1200833725703783e+42
CGCG102-048,13h44m15.7s,+19d34m00s,0.027065,118.3205621,Sy 1.9,0.052120999,0.007810032,0.0,0.14745609199999998,0.0,0.245051758,0.0,0.21415502600000003,0.0,0.057408089,1.95e-11,3.267057417959194e+43
CGCG122-055,09h42m04.8s,+23d41m07s,0.021371,93.03102831,Sy 1,0.650671466,0.040379173,0.57190077,0.039036268,0.268369144,0.026819513,0.09319217099999999,0.011835219,0.0,0.04259772,1.3800000000000002e-11,1.429342926274258e+43
CGCG229-015,19h05m25.9s,+42d27m40s,0.027879,121.9529996,Sy 1,0.147645505,0.009333784,0.270280081,0.022021445,0.173731332,0.030681019,0.0,0.10567293400000001,0.0,0.08935012099999999,1.1099999999999999e-11,1.9756484130221715e+43
CGCG300-062,17h43m17.4s,+62d50m21s,0.032999,144.89847460000001,Sy 2,0.101696038,0.00632634,0.286005832,0.021149347000000002,0.20803222300000002,0.025414127,0.10142239900000001,0.017669808000000002,0.0,0.058082145,1.0100000000000001e-11,2.5377609379286103e+43
