Name,PACS70,PACS70_err,PACS160,PACS160_err,PSW,PSW_err,PSW_flag,PMW,PMW_err,PMW_flag,PLW,PLW_err,PLW_flag
LCRSB034324.7-394349,0.141828368,0.011444137,0.223568525,0.023348787,0.144266369,0.010729146,A,0.073662739,0.00834663,Ad,0.049613552,0.008660205,AD
LCRSB232242.2-384320,0.644476313,0.036583151,1.338690104,0.077421166,0.497740328,0.027948878,A,0.22097835,0.013894282,A,0.082476159,0.010675205,A
LEDA138501,0,0.083028404,0,0.085455213,0,0.074255681,U,0,0.059160872,U,0,0.062552104,U
LEDA170194,0.373107537,0.02225458,0.637952043,0.046143687,0.3768144,0.0415122,Ad,0.160334,0.02756956,Ad,0,0.097918552,Ud
LEDA214543,0.118331956,0.007688839,0.326443266,0.021838563,0.181797227,0.011600873,Ad,0.099415181,0.008647592,Ad,0,0.099156602,Ud
LEDA38038,1.9509775,0.102064367,1.413495993,0.126259286,0.426942062,0.02429831,A,0.16685883,0.011216921,A,0,0.073661229,U
M106,35.872,0.761326968,105.177,2.313819092,53.31240432,4.757740908,A,24.31814,2.81689,A,9.354775051,1.607201536,A
MCG-01-05-047,2.403,0.135199446,6.131,0.311520312,4.088274635,0.296212828,A,1.970290822,0.159978509,A,0.807910944,0.062791499,A
MCG-01-09-045,0,0.133023084,0.366710013,0.025376799,0.250607793,0.047803442,A,0,0.18978274,U,0,0.100058489,U
MCG-01-13-025,0.092232477,0.007743962,0.160365394,0.029515453,0,0.106966295,U,0,0.064518715,U,0,0.072246206,U
MCG-01-24-012,0.572331358,0.031468367,1.091343616,0.135811283,0.768068364,0.07390647,A,0.367037953,0.030118722,A,0.141623176,0.025003785,A
MCG-01-30-041,1.497488141,0.076863784,1.750797262,0.123593634,0.735423661,0.052520077,A,0.320850804,0.027807335,A,0,0.09252494,U
MCG-01-33-063,0.302,0.027457053,1.16,0.061715248,0.870576036,0.067827757,A,0.400233306,0.038287346,A,0.159733337,0.024407457,A
MCG-01-40-001,2.056,0.107841443,2.425,0.124600851,1.524370268,0.13450029,A,0.706955036,0.122124434,A,0.229957318,0.045115186,A
MCG-02-02-095,0.081078405,0.007848598,0,0.195671789,0,0.101655345,U,0,0.05707922,U,0,0.09374393,U
MCG-02-08-014,0.336656404,0.018650344,0.540515105,0.040998488,0.460016705,0.04205633,A,0.233233033,0.043084165,A,0,0.11465712,U
MCG-02-08-038,0.125661068,0.009823266,0.34,0.028075838,0.277613695,0.046996519,A,0,0.158229705,U,0,0.100632174,U
MCG-02-12-050,0.603,0.042375461,1.376,0.075761139,0.8583982,0.07730553,Ad,0.3857567,0.03366263,Ad,0.169042374,0.019429749,AD
