SWIFT Name	R.A.	Decl.	Flux (15-55 keV)	S/N	ID	Type^a	Redshift	Ph. Index	log(N_H)	Reference
J0402.5-1804	60.639	-18.077	1.35 +or- 0.19	7	ESO 549-G049	Sy2	0.03	1.75^+0.50_-0.38	22.4	-2
J1145.5-1825	176.393	-18.428	2.84 +or- 0.27	10.5	2MASX J11454045-1827149	Sy1	0.03	2.02^+0.22_-0.21	20.5	-1
J0127.9-1850	22	-18.847	1.27 +or- 0.20	6.2	MCG-03-04-072	Sy1	0.04	2.26^+0.54_-0.44	20	-2
J0311.6-2045	47.919	-20.76	1.27 +or- 0.18	6.9	2MASX J03111883-2046184	Sy1	0.07	1.79^+0.43_-0.34	20	-2
J0959.6-2250	149.916	-22.834	4.44 +or- 0.22	19.8	NGC 3081	Sy2	0.01	1.80^+0.13_-0.12	23.5	-1
J1006.0-2306	151.5	-23.1	1.25 +or- 0.23	5.5	ESO 499-G 041	Sy1	0.01	1.57^+0.60_-0.62	21.4	-2
J1334.8-2323	203.7	-23.4	1.49 +or- 0.29	5.1	ESO 509-38	Sy2	0.03	2.37^+0.69_-0.54	20	-2
J0042.7-2332	10.68	-23.548	2.44 +or- 0.21	11.7	NGC 235A	Sy2	0.02	1.60^+0.20_-0.19	23	-1
J1048.5-2512	162.149	-25.2	1.42 +or- 0.27	5.3	NGC 3393	Sy2	0.01	2.01^+0.43_-0.37	24.7	-4
J1419.5-2639	214.893	-26.663	3.49 +or- 0.34	10.4	ESO 511-G030	Sy1	0.02	2.11^+0.22_-0.20	21.2	-1
J1238.8-2718	189.723	-27.308	4.39 +or- 0.28	15.9	ESO 506-027	Sy2	0.02	1.74^+0.13_-0.13	23.6	-9
J0444.7-2812	71.199	-28.2	1.07 +or- 0.18	5.9	2MASX J04450628-2820284	Sy2	0.15	2.17^+0.88_-0.66	20	-2
J0226.8-2819	36.703	-28.324	1.14 +or- 0.18	6.4	2MASX J02262568-2820588	Sy1	0.06	2.21^+0.59_-0.49	21.8	-2
J0235.6-2935	38.9	-29.6	0.99 +or- 0.18	5.6	ESO 0416-G0002	Sy1.9	0.06	1.62^+0.45_-0.35	19.6	-1
J1349.5-3018	207.39	-30.304	17.87 +or- 0.31	58.2	IC 4329A	Sy1	0.02	2.05^+0.00_-0.00	21.6	-1
J0347.3-3029	56.85	-30.5	0.89 +or- 0.17	5.3	RBS 0741	Sy1	0.1	2.04^+0.48_-0.43	20.4	-2
J2202.1-3152	330.526	-31.878	8.01 +or- 0.25	31.8	NGC 7172	Sy2	0.01	1.80^+0.01_-0.01	22.9	-1
J0256.4-3212	44.117	-32.208	1.31 +or- 0.17	7.7	ESO 417-6	Sy2	0.02	1.86^+0.25_-0.24	22.9	-2
J0623.9-3214	95.994	-32.248	1.53 +or- 0.20	7.5	ESO 426-G 002	Sy2	0.02	1.86^+0.38_-0.35	23.9	-2
J1335.7-3418	203.944	-34.302	4.86 +or- 0.29	16.6	MCG-06-30-015	Sy1.2	0.01	2.24^+0.17_-0.17	21.7	-1
J1031.8-3451	157.975	-34.86	4.71 +or- 0.26	18.4	NGC 3281	Sy2	0.01	1.98^+0.17_-0.16	23.9	-6
