|     cntr_01|	dist_x|	pang_x|	ra_01|	dec_01|	designation|	ra|	dec|	r_k20fe|	j_m_k20fe|	j_msig_k20fe|	j_flg_k20fe|	h_m_k20fe|	h_msig_k20fe|	h_flg_k20fe|	k_m_k20fe|	k_msig_k20fe|	k_flg_k20fe|	k_ba|	k_phi|	sup_ba|	sup_phi|	r_ext|	j_m_ext|	j_msig_ext|	h_m_ext|	h_msig_ext|	k_m_ext|	k_msig_ext|	cc_flg|
|         int|	double|	double|	double|	double|	char|	double|	double|	double|	double|	double|	int|	double|	double|	int|	double|	double|	int|	double|	int|	double|	int|	double|	double|	double|	double|	double|	double|	double|	char|
|            |	arcsec|	deg|	degree|	degree|	|	deg|	deg|	arcsec|	mag|	mag|	|	mag|	mag|	|	mag|	mag|	|	|	deg|	|	deg|	arcsec|	mag|	mag|	mag|	mag|	mag|	mag|	|
|        null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|
77	0.119392	38.374396	324.639167	32.085	21383340+3205060	324.639191	32.085026	16.6	12.141	0.026	3	11.367	0.032	3	10.91	0.047	3	0.5	-35	0.56	-40	28.21	12.075	0.029	11.246	0.031	10.837	0.041	0
78	1.121796	-134.137434	9.0875	45.665	00362092+4539532	9.08718	45.664783	10.8	13.143	0.04	0	12.292	0.048	0	11.608	0.046	0	0.8	-30	0.78	-35	32.4	13.102	0.083	11.994	0.074	11.32	0.06	0
79	0.108182	100.66263	91.423333	-86.631944	06054172-8637550	91.423836	-86.63195	89.4	9.534	0.015	0	8.604	0.015	0	8.192	0.017	0	0.2	-85	0.22	-85	123.48	9.465	0.02	8.548	0.014	8.141	0.017	0
80	0.819852	1.386461	46.897083	-72.834167	03073530-7250021	46.897102	-72.833939	13.2	12.61	0.037	0	11.909	0.048	0	11.504	0.067	0	0.8	-50	0.8	-35	32.47	12.349	0.05	11.54	0.055	11.395	0.085	0
81	0.360269	151.431334	73.995833	-75.541111	04555904-7532283	73.996025	-75.541199	23.2	11.413	0.027	3	10.61	0.037	3	10.188	0.043	3	0.8	15	0.82	10	40.74	11.3	0.032	10.427	0.037	10.028	0.041	0
82	0.414271	112.479936	279.584583	-65.4275	18382036-6525391	279.584839	-65.427544	27.6	11.497	0.022	0	10.779	0.03	0	10.434	0.039	0	0.5	40	0.36	35	42.2	11.377	0.024	10.632	0.029	10.328	0.035	0
83	0.415746	-158.04539	95.94	-60.978889	06234557-6058443	95.939911	-60.978996	23.2	12	0.038	1	11.285	0.058	1	10.949	0.078	1	0.7	90	0.66	85	47.35	11.628	0.052	10.752	0.051	10.637	0.075	0
84	0.150568	133.897741	248.80875	-58.08	16351411-5804481	248.808807	-58.080029	56	9.345	0.018	1	8.655	0.018	1	8.362	0.02	1	1	-7	0.87	30	105.1	9.161	0.026	8.544	0.029	8.258	0.036	Z
85	0.405284	-11.471646	264.412917	-59.940833	17373908-5956266	264.412872	-59.940723	32.5	10.891	0.027	1	10.237	0.037	1	9.909	0.042	1	0.8	-55	0.78	25	53.37	10.623	0.028	10.028	0.035	9.709	0.039	0
86	0.392782	145.781799	290.30875	-58.670278	19211412-5840133	290.308868	-58.670368	16	11.882	0.034	3	11.051	0.04	3	10.296	0.036	3	0.9	50	0.82	35	28.65	11.81	0.04	10.916	0.04	10.212	0.034	0
87	null	null	65.600833	-56.225833	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
88	1.143418	-55.744881	15.145833	-47.867778	01003490-4752033	15.145442	-47.867599	10.3	12.848	0.028	0	12.058	0.034	0	11.631	0.048	0	0.7	85	0.56	85	30.42	12.599	0.043	11.692	0.044	11.591	0.073	0
89	0.277501	22.704985	32.71875	-49.698611	02105251-4941547	32.718796	-49.69854	18.5	12.536	0.031	0	11.801	0.033	0	11.435	0.056	0	0.4	70	0.4	70	30.52	12.418	0.036	11.709	0.036	11.368	0.054	0
90	0.886139	-22.140155	39.582083	-52.1925	02381966-5211321	39.581932	-52.192272	10.9	12.788	0.03	0	11.95	0.034	3	11.204	0.037	0	0.7	65	0.88	-40	20.63	12.679	0.036	11.898	0.039	11.136	0.034	0
91	0.506652	-136.254163	120.491667	-49.778333	08015796-4946423	120.491516	-49.778435	22.1	11.684	0.025	3	10.768	0.027	3	10.144	0.027	3	0.5	65	0.4	60	36.19	11.513	0.029	10.661	0.03	10.087	0.026	0
92	0.528604	128.851651	22.463333	-42.326389	01295123-4219353	22.463488	-42.326481	21.4	12.137	0.028	0	11.394	0.036	0	11.033	0.051	0	0.5	45	0.38	40	32.16	12.002	0.035	11.224	0.041	11.018	0.093	0
93	0.517632	151.108176	152.450833	-42.811111	10094822-4248404	152.450928	-42.811237	23.8	12.083	0.049	3	11.398	0.062	3	11.085	0.096	3	0.7	25	0.82	15	64.13	11.445	0.071	10.919	0.096	10.534	0.123	0
94	0.717949	-108.448535	24.655	-40.011389	01383714-4000412	24.654753	-40.011452	37.9	11.237	0.02	0	10.442	0.029	0	10.13	0.037	0	0.3	-35	0.34	-35	55.84	11.16	0.02	10.342	0.026	10.036	0.033	0
95	0.953103	28.702439	196.60875	-40.414722	13062614-4024521	196.608917	-40.41449	29.2	10.335	0.015	1	9.481	0.016	1	8.863	0.017	3	0.9	75	0.84	60	46.28	10.21	0.017	9.357	0.016	8.802	0.017	0
96	0.127252	100.134917	79.899167	-32.657778	05193580-3239280	79.899208	-32.657784	23.6	11.17	0.018	1	10.452	0.022	3	10.134	0.037	3	0.7	-70	0.76	-40	37.46	11.104	0.019	10.395	0.021	10.025	0.033	0
97	0.309765	91.478436	153.332917	-35.982778	10131992-3558580	153.333023	-35.98278	23.8	12.178	0.038	0	11.425	0.045	0	11.122	0.074	0	0.4	-70	0.4	-80	44.79	11.952	0.051	11.212	0.049	10.886	0.068	0
98	0.327482	-77.157189	203.35875	-34.014722	13332607-3400529	203.358643	-34.014702	13.1	12.928	0.041	3	12.163	0.043	3	11.418	0.054	3	0.7	-80	0.5	-85	32.3	12.517	0.051	11.867	0.057	11.272	0.063	0
99	4.597418	42.040573	301.740417	-34.549444	20065794-3432545	301.741455	-34.548496	20.1	11.806	0.032	3	11.046	0.04	3	10.665	0.049	3	0.7	75	0.64	50	35.24	11.63	0.036	10.925	0.041	10.506	0.044	0
